"Gene name","Mean gene expression level (TPM)","Minimum log2 fold change","Ensembl ID"
"CRTAM","753.19","3.3","ENSG00000109943"
"LAYN","200.12","3.1","ENSG00000204381"
"AK4","13.08","2.3","ENSG00000162433"
"SH2D5","5.04","2.3","ENSG00000189410"
"CNIH2","19.92","1.9","ENSG00000174871"
"RP3-416J7.4","4.39","1.8","ENSG00000263667"
"FAM227A","4.81","1.8","ENSG00000184949"
"NTRK1","3.44","1.7","ENSG00000198400"
"VWCE","4.54","1.7","ENSG00000167992"
"MIR210HG","3.22","1.7","ENSG00000247095"
"PDGFA","10.12","1.7","ENSG00000197461"
"N4BP3","75.78","1.7","ENSG00000145911"
"XCL1","340.15","1.7","ENSG00000143184"
"NT5E","440.92","1.6","ENSG00000135318"
"RP11-84D1.1","10.26","1.5","ENSG00000229162"
"MOK","4.72","1.5","ENSG00000080823"
"CCDC173","2.77","1.5","ENSG00000154479"
"TRAV1-2","103.20","1.4","ENSG00000256553"
"RP1-45N11.1","7.70","1.4","ENSG00000260271"
"DIXDC1","8.14","1.4","ENSG00000150764"
"CYCSP39","2.50","1.3","ENSG00000260690"
"FAM57A","32.82","1.3","ENSG00000167695"
"SCD","235.98","1.3","ENSG00000099194"
"TRAV19","293.04","1.3","ENSG00000211799"
"RP1-140K8.2","2.31","1.2","ENSG00000218472"
"TRBV27","223.67","1.2","ENSG00000211752"
"CCR7","1501.43","1.2","ENSG00000126353"
"C7orf57","3.30","1.2","ENSG00000164746"
"HOXB9","6.09","1.2","ENSG00000170689"
"AP000662.9","4.39","1.2","ENSG00000213592"
"TNFSF9","23.36","1.1","ENSG00000125657"
"RP11-109E24.1","4.24","1.1","ENSG00000251517"
"CPXM1","9.36","1.1","ENSG00000088882"
"PHKA1","2.17","1.1","ENSG00000067177"
"RNF223","2.14","1.1","ENSG00000237330"
"ZBTB32","35.96","1.1","ENSG00000011590"
"B3GNT2","194.02","1.1","ENSG00000170340"
"RP11-465B22.3","47.50","1","ENSG00000217801"
"CCDC113","2.05","1","ENSG00000103021"
"SEMA7A","481.20","1","ENSG00000138623"
"C4orf47","2.04","1","ENSG00000205129"
"GPR126","2.03","1","ENSG00000112414"
"HMGA1P6","0.00","1","ENSG00000233440"
"TATDN2P3","0.00","1","ENSG00000235205"
"SDAD1P4","0.00","1","ENSG00000236803"
"SACS-AS1","0.00","1","ENSG00000229558"
"HNRNPA1P29","0.00","1","ENSG00000235784"
"GPC6-AS2","0.00","1","ENSG00000224394"
"RNA5SP35","0.00","1","ENSG00000212559"
"LINC00327","0.01","1","ENSG00000232977"
"GPC6-AS1","0.00","1","ENSG00000236520"
"LINC00352","0.00","1","ENSG00000227893"
"AL139318.1","0.00","1","ENSG00000212057"
"RNA5SP36","0.01","1","ENSG00000222129"
"MTCO3P2","0.01","1","ENSG00000232102"
"RN7SL585P","0.01","1","ENSG00000242037"
"LINC00391","0.00","1","ENSG00000238230"
"SOX21-AS1","0.00","1","ENSG00000227640"
"C1QTNF9B-AS1","0.05","1","ENSG00000205861"
"BRD7P5","0.07","1","ENSG00000235768"
"RPL21P112","0.04","1","ENSG00000237924"
"LINC00557","0.00","1","ENSG00000260962"
"RNU6-62P","0.83","1","ENSG00000252335"
"snoU13_ENSG00000238463","0.02","1","ENSG00000238463"
"ANKRD20A19P","0.00","1","ENSG00000196593"
"RNY4P27","0.00","1","ENSG00000200211"
"MEMO1P5","0.00","1","ENSG00000271492"
"CLDN10-AS1","0.00","1","ENSG00000223392"
"RP11-309I15.1","0.03","1","ENSG00000228741"
"IPO7P2","0.47","1","ENSG00000225674"
"MTND5P2","0.04","1","ENSG00000229622"
"MIR2276","0.08","1","ENSG00000252695"
"MTND6P18","0.05","1","ENSG00000227714"
"C1QTNF9-AS1","0.04","1","ENSG00000240868"
"MTCYBP3","0.05","1","ENSG00000232373"
"NUS1P3","0.04","1","ENSG00000234627"
"snR65_ENSG00000251901","0.03","1","ENSG00000251901"
"LINC00566","0.01","1","ENSG00000261498"
"HMGN1P24","0.01","1","ENSG00000226977"
"CYCSP33","0.01","1","ENSG00000233545"
"AMMECR1LP1","0.00","1","ENSG00000233273"
"TPTE2P6","0.00","1","ENSG00000205822"
"HSP90AB6P","0.04","1","ENSG00000235137"
"LINC00359","0.00","1","ENSG00000243300"
"AL359538.2","0.00","1","ENSG00000266216"
"PSPC1P2","0.00","1","ENSG00000244615"
"RP11-556N21.1","0.00","1","ENSG00000243008"
"RP11-65L19.4","0.00","1","ENSG00000272329"
"AL359538.1","0.01","1","ENSG00000211508"
"RPL26P34","0.00","1","ENSG00000225404"
"PSMA6P4","0.02","1","ENSG00000271625"
"ANKRD20A10P","0.01","1","ENSG00000226695"
"RPL7AP61","0.00","1","ENSG00000233291"
"RP11-383H17.4","0.04","1","ENSG00000270725"
"TPTE2P1","0.00","1","ENSG00000253771"
"FTLP8","0.27","1","ENSG00000232217"
"RN7SKP8","0.00","1","ENSG00000222969"
"RP11-573N10.1","0.00","1","ENSG00000269189"
"SLC25A15P3","0.00","1","ENSG00000251299"
"RP11-295B17.6","0.08","1","ENSG00000271437"